d, :, 7424, 0.74, 7786, -1, 
d, :, 8108, 0.92, 8470, -1, 
d, :, 8068, 0.66, 8430, -1, 
d, :, 7784, 26.81, 8146, -1, 
d, :, 7796, -0.16, 8158, -1, 
d, :, 8056, -12.24, 8418, -1, 
d, :, 7460, -3.01, 7822, -1, 
d, :, 7780, -16.38, 8142, -1, 
d, :, 7512, -14.41, 7874, -1, 
d, :, 7780, -1.58, 8142, -1, 
d, :, 7776, 5.69, 8138, -1, 
d, :, 7768, 4.88, 8130, -1, 
d, :, 7768, 0.40, 8130, -1, 
d, :, 7512, 7.06, 7874, -1, 
d, :, 7496, 1.25, 7858, -1, 
d, :, 7792, 1.11, 8154, -1, 
d, :, 7772, -3.28, 8134, -1, 
d, :, 7768, 2.64, 8130, -1, 
d, :, 8076, 2.29, 8438, -1, 
d, :, 8072, 2100, 8434, -1, 
d, :, 7460, 1859, 7822, -1, 
d, :, 8132, 1200, 8494, -1, 
d, :, 7448, 2100, 7810, -1, 
d, :, 7796, 0.11, 8158, -1, 
d, :, 7764, -0.49, 8126, -1, 
d, :, 7784, -6.00, 8146, -1, 
d, :, 7564, -5.31, 7926, -1, 
d, :, 7504, 16.09, 7866, -1, 
d, :, 7428, -10.33, 7790, -1, 
d, :, 8092, -5.78, 8454, -1, 
d, :, 7512, -6.08, 7874, -1, 
d, :, 7764, 29.00, 8126, -1, 
d, :, 7768, -14.80, 8130, -1, 
d, :, 7764, 0.65, 8126, -1, 
d, :, 8076, 1.08, 8438, -1, 
d, :, 8088, 0.30, 8450, -1, 
d, :, 8104, 0.77, 8466, -1, 
d, :, 8088, 0.00, 8450, -1, 
d, :, 8052, 0.88, 8414, -1, 
d, :, 7464, 1.25, 7826, -1, 
d, :, 7796, 0.59, 8158, -1, 
d, :, 7776, 0.16, 8138, -1, 
d, :, 7780, 0.98, 8142, -1, 
d, :, 8080, 0.59, 8442, -1, 
d, :, 8048, 1000, 8410, -1, 
d, :, 7412, 1200, 7774, -1, 
d, :, 7768, 1000, 8130, -1, 
